OBJECTID,GLOBAL_ID,IDENT,NAME,LATITUDE,LONGITUDE,ELEVATION,ICAO_ID,TYPE_CODE,SERVCITY,STATE,COUNTRY,OPERSTATUS,PRIVATEUSE,IAPEXISTS,DODHIFLIP,FAR91,FAR93,MIL_CODE,AIRANAL,US_HIGH,US_LOW,AK_HIGH,AK_LOW,US_AREA,PACIFIC,lat,lon
2649,8AC9CFE8-D24E-4950-BAA6-7BF70074DC21,CT05,Kaman Aerospace Corp,41-51-43.3540N,072-41-59.3350W,164.0,,HP,BLOOMFIELD,CT,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NOT ANALYZED,0,0,0,0,0,0,41.86204277777778,-72.69981527777779
2651,A52131FA-C02A-4F8E-A947-205C57D3D671,0CT7,Bridgeport Hospital,41-11-18.1700N,073-10-00.2900W,80.0,,HP,BRIDGEPORT,CT,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,41.188380555555554,-73.16674722222223
2652,9C7FE112-44F1-4EEB-B151-0F849F3B581F,CT12,Medical Center,41-12-04.3900N,073-12-05.6500W,148.0,,HP,BRIDGEPORT,CT,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,41.20121944444445,-73.20156944444444
2653,D5AF2EE9-B8A5-4072-8EAB-E2ABF5176F45,CT37,Sikorsky Bridgeport,41-09-39.6500N,073-12-17.7300W,8.3,,HP,BRIDGEPORT,CT,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NOT ANALYZED,0,0,0,0,0,0,41.16101388888889,-73.204925
2655,06D78053-C72A-41ED-93A2-E309B3DAA7CB,CT03,Bristol Hospital,41-40-34.6200N,072-56-10.4300W,406.0,,HP,BRISTOL,CT,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,41.67628333333333,-72.93623055555555
2656,1204B753-74D4-41D1-9548-3050EDEA585B,CT60,Ultimate,41-40-27.1600N,072-53-48.9100W,233.0,,HP,BRISTOL,CT,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,41.674211111111106,-72.89691944444445
2663,44F890CA-B91D-4C2C-99BF-04B31664D41A,CT41,Sacred Heart University,41-13-02.3460N,073-15-19.4150W,122.0,,HP,FAIRFIELD,CT,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,41.21731833333334,-73.25539305555556
2664,DC43B057-866F-43F4-9DCA-390CB891C6E8,CT71,Rtx Farmington,41-42-32.2200N,072-48-07.5600W,363.0,,HP,FARMINGTON,CT,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,41.70895,-72.8021
2665,29CE3E44-B503-4576-9666-EA3230AED590,CT75,Uconn Health,41-43-59.8100N,072-47-35.2000W,340.0,,HP,FARMINGTON,CT,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,41.73328055555556,-72.7931111111111
2666,C492B7E1-C4C2-4A07-808D-215AA50308CA,CT02,Clark Hill,41-38-32.3600N,072-33-48.3200W,720.0,,HP,GLASTONBURY,CT,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,41.64232222222222,-72.56342222222221
2670,050E9210-39FB-4A33-8155-A8E8962158A4,14CT,Mptn,41-29-07.9500N,071-58-23.2100W,124.0,,HP,MASHANTUCKET,CT,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,41.48554166666667,-71.97311388888889
2672,619AF51F-36FA-4226-9576-84B20757E7D9,CT95,Meriden-Wallingford Hospital,41-32-52.7600N,072-48-01.3000W,142.0,,HP,MERIDEN,CT,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,41.54798888888889,-72.8003611111111
2673,1828F1F1-134F-40EF-A39F-FDEC1DC38EC0,CT98,Middlesex Hospital,41-33-17.5000N,072-38-46.3800W,57.0,,HP,MIDDLETOWN,CT,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,41.55486111111111,-72.64621666666667
