ident,name,lat,lon,gt,pred,detected,confidence,bbox_px,category
00A,Total Rf,40.07083333333334,-74.93361111111112,1,0,True,0.3811,"[150, 121, 424, 368]",FN
00NJ,Colgate-Piscataway,40.52093694444444,-74.4745975,0,0,False,0.0,,TN
01CT,Berlin Fairgrounds,41.62663055555556,-72.72716666666666,0,0,False,0.0,,TN
01MA,Compaq Andover,42.62509222222222,-71.18006944444446,0,0,False,0.0,,TN
01NY,Nuvance Health Vassar Brothers Medical Center,41.69178055555555,-73.93589444444444,1,1,True,0.7135,"[297, 193, 456, 331]",TP
02MA,Cuttyhunk,41.419575,-70.92692222222223,1,0,False,0.0,,FN
02NJ,Merck Kenilworth Campus,40.67462222222222,-74.27818611111111,1,1,True,0.6718,"[270, 222, 428, 355]",TP
02NY,Hansen,43.13213055555556,-75.655225,0,0,False,0.0,,TN
02PN,Peco Berwyn,40.059019444444445,-75.46138888888889,1,0,True,0.4878,"[273, 274, 373, 362]",FN
03NJ,St Joseph's Hospital,40.903505555555554,-74.16547222222223,1,1,True,0.6972,"[250, 230, 437, 398]",TP
03PN,M P Metals,41.06686111111112,-76.18080555555557,0,0,False,0.0,,TN
05MA,Bentley,42.693080555555554,-70.91229722222222,0,0,False,0.0,,TN
05NJ,Paulus Hook Pier,40.71339722222223,-74.03202222222222,1,1,True,0.7565,"[248, 245, 406, 385]",TP
05NY,Oswego County At Pulaski,43.55201388888889,-76.0902011111111,1,1,True,0.7494,"[418, 361, 640, 559]",TP
05PA,Peco Mob,39.95483472222222,-75.1782338888889,1,1,True,0.6437,"[396, 243, 589, 398]",TP
05PN,State Police Area Iii,40.30008861111111,-76.85802833333332,0,0,False,0.0,,TN
06MA,The Barn,42.690644444444445,-71.60895805555555,0,0,False,0.0,,TN
06NJ,J&j New Brunswick Helistop,40.50183719444444,-74.445735,1,0,True,0.4672,"[218, 211, 443, 402]",FN
07MA,West Pond,41.9170475,-70.70948055555556,0,0,False,0.0,,TN
07NJ,Hackensack UMc Palisades,40.79375833333333,-73.99479722222222,1,1,True,0.6404,"[178, 278, 384, 464]",TP
08NJ,Cooperman Barnabas Medical Center,40.76260055555556,-74.30403722222222,1,1,True,0.7731,"[264, 331, 399, 456]",TP
08PA,Pocono Raceway Corporate,41.061638888888886,-75.50920833333333,0,0,False,0.0,,TN
09NJ,Stonebridge Farm Helistop,40.65371277777778,-74.68654944444445,0,0,False,0.0,,TN
09NY,D Storm Meml,41.92381666666667,-74.04275,1,0,True,0.4209,"[229, 238, 384, 382]",FN
0CT0,Sharon Hospital,41.88121944444445,-73.48097777777778,1,1,True,0.7063,"[403, 256, 529, 369]",TP
0CT2,Windham Hospital,41.71681111111111,-72.22556111111112,1,1,True,0.8356,"[230, 244, 383, 382]",TP
0CT3,N B G H,41.66155,-72.78784166666667,1,1,True,0.6163,"[259, 258, 363, 355]",TP
0CT5,St Francis Hospital,41.774927777777776,-72.69778611111111,1,1,True,0.7919,"[145, 287, 288, 414]",TP
0CT7,Bridgeport Hospital,41.188380555555554,-73.16674722222223,1,1,True,0.6127,"[260, 241, 427, 362]",TP
0CT8,Danbury Hospital,41.40530833333333,-73.4452888888889,1,1,True,0.7876,"[273, 256, 401, 370]",TP
0CT9,Hartford Hospital,41.75459722222222,-72.6786388888889,1,0,False,0.0,,FN
0MA1,Massachusetts General Hospital,42.36368333333333,-71.06922777777777,1,1,True,0.7707,"[145, 281, 287, 405]",TP
0MA2,Healthalliance Hospital-Leominster,42.54058055555555,-71.760625,1,1,True,0.7703,"[261, 263, 380, 369]",TP
0MA3,Reh,41.786227777777775,-71.23142222222222,1,1,True,0.7842,"[268, 270, 375, 372]",TP
0MA4,Boston Medical Center Hospital,42.333822222222224,-71.07136666666666,1,1,True,0.5415,"[232, 259, 405, 410]",TP
0MA5,Brockton Usar Center,42.05593333333333,-71.05587944444444,0,0,True,0.4358,"[476, 286, 639, 450]",TN
0MA6,Wbz,42.365096944444446,-71.13255277777778,1,1,True,0.7512,"[180, 126, 333, 263]",TP
0MA9,Lleia Kyle O'meara,42.50485277777778,-71.90839166666667,0,0,False,0.0,,TN
0NJ0,Atlantic City Medical Center,39.35898888888889,-74.43467777777778,1,1,True,0.6879,"[308, 231, 494, 396]",TP
0NJ1,Berkeley Township Police,39.90474444444445,-74.2339638888889,1,0,False,0.0,,FN
0NJ2,Ballymere,40.752878333333335,-74.43987527777779,0,0,False,0.0,,TN
0NJ3,Mount Holly,39.97812222222223,-74.78395277777777,0,1,True,0.5631,"[191, 110, 322, 222]",FP
