osm_id,osm_type,lat,lon,access,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,aeroway,ele,gnis:feature_id,lit,name,opening_hours,ref,surface,website,wikidata,fixme,faa,note,source,alt_name,operator,aerodrome:type,iata,icao,operator:type,wikipedia,FAA:LFSN,building:part,height,location,start_date,layer,rooftop,landuse,gnis:ftype,operator:wikidata,phone
368389814,node,41.0995142,-73.4200471,private,Norwalk,50,06854,CT,Washington Street,helipad,44,213096,no,wHeliport,dawn-dusk,CT56,concrete,https://adip.faa.gov/agis/public/#/simpleAirportMap/CT56,Q61671673,,,,,,,,,,,,,,,,,,,,,,
368389893,node,41.0541992,-73.5520775,,,,,CT,,helipad,,213123,,Stamford Hospital Heliport,,,,,,,,,,,,,,,,,,,,,,,,,,,
368395686,node,40.711217,-74.128761,,,,,NJ,,helipad,4,882365,,Terminal Newark One Helistop,,,,,Q34963271,The location data from Wikidata is not correct - this is currently shown inside a wastewater treatment complex,,,,,,,,,,,,,,,,,,,,,
368395716,node,40.7001059,-74.299597,,,,,NJ,,helipad,30,882391,,Union County,,,,,Q35314245,,,,,,,,,,,,,,,,,,,,,,
368395971,node,40.771458,-74.209638,,,,,NJ,,helipad,48,884722,,Martens Stadium Heliport,,,,,Q61675637,,,,,,,,,,,,,,,,,,,,,,
368395973,node,40.7598099,-74.2026784,,,,,NJ,,helipad,43,884723,,Oval Park Heliport,,,,,,,,,,,,,,,,,,,,,,,,,,,
368395975,node,40.6751075,-74.2448749,,,,,NJ,,helipad,18,884729,,Liberty Hall Heliport,,,,,Q61675641,,,,,,,,,,,,,,,,,,,,,,
368395983,node,40.7521973,-74.2170415,,,,,,,helipad,,884721,,Elmwood Park Heliport,,,,,Q61675636,,NJ37,,,,,,,,,,,,,,,,,,,,
368395998,node,40.8887499,-74.1631026,,,,,NJ,,helipad,42,884705,,Metropolitan Electric Heliport,,,,,Q61675629,,,,,,,,,,,,,,,,,,,,,,
368396089,node,40.8839908,-74.0679236,,,,,NJ,,helipad,11,884813,,Penske 2 Heliport,,,,,,,,,,,,,,,,,,,,,,,,,,,
368396132,node,40.6362202,-74.2337608,,,,,NJ,,helipad,5,884806,,Bayway Refinery Heliport,,,,,Q61675718,,,,,,,,,,,,,,,,,,,,,,
368396144,node,40.6501097,-74.082372,,,,,NJ,,helipad,0,884794,,Caven Point USAR Center Heliport,,,,,,,,"error, heliport misplaced in middle of bay instead of on land",,,,,,,,,,,,,,,,,,,
