osm_id,osm_type,lat,lon,aeroway,highway,addr:state,ele,fixme,gnis:feature_id,name,wikidata,FAA:LFSN,faa,lit,start_date,surface,addr:city,addr:housenumber,addr:postcode,addr:street,ref,access,opening_hours,website,historic,note,alt_name,disused,operator,aerodrome:type,iata,icao,owner,source,wikipedia,phone,faa:lid,designation,name:etymology:wikidata,area,created_by,rooftop,abandoned,description,source_ref,operator:type,emergency,old_name,location,length,width,maxrotordiameter,maxweight,source:name,source:ref,elevation,building:part,height,layer,source:geometry,official_name,Manager,Owner,diameter,club,operator:wikidata,operator:wikipedia,landuse,gnis:ftype,owner:wikidata,image,addr:country,healthcare,name:signed,type
178442659,node,41.8402538,-72.7950228,helipad,turning_circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368379744,node,38.9420553,-77.0794223,helipad,,DC,110,Does this still exist?,532042,National Presbyterian Church Heliport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368381244,node,39.758446,-75.5996482,helipad,,DE,48,unable to verify if this still exists here,217249,Old Du Pont Airport Helistop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368381245,node,39.7526252,-75.6081289,helipad,,DE,48,unable to verify if this still exists here,217248,Chestnut Run Helistop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368381251,node,39.1937365,-75.5440585,helipad,,DE,12,,217898,Delaware State Police Academy Heliport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368382680,node,41.5764902,-71.4595022,helipad,,RI,15,,1219021,North Kingstown Emergency Operations Pad,Q49748779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368383023,node,42.8469039,-71.2184081,helipad,,,58,,873388,Chopper One Heliport,Q61675416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368383041,node,42.7986958,-71.9823018,helipad,,NH,341,concrete...somewhere...,873407,Millipore Heliport,Q61675461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368383090,node,42.8257914,-71.7405412,helipad,,NH,249,,873453,Shanklin Heliport,Q61675562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368389669,node,41.4259514,-73.4032993,helipad,,CT,136,,213011,BIP Heliport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
