epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2352,1.75876,3.30529,1.74302,0.28406,0.36709,0.23245,0.11531,1.99353,3.0173,2.16498,0.000662551,0.000662551,0.000662551
2,83.413,1.76456,1.82601,1.76656,0.6259,0.51899,0.47842,0.23943,1.97588,1.98496,1.97598,0.0013029,0.0013029,0.0013029
3,123.101,1.74388,1.75157,1.74975,0.67246,0.46835,0.52861,0.24449,1.87858,3.27775,2.00504,0.00191685,0.00191685,0.00191685
4,162.312,1.69792,1.66844,1.74033,0.77121,0.50633,0.57298,0.30295,1.90713,1.9134,2.06133,0.0018812,0.0018812,0.0018812
5,201.77,1.70842,1.63177,1.73757,0.79673,0.63291,0.70155,0.35752,1.74952,1.46603,1.81142,0.0018416,0.0018416,0.0018416
6,240.889,1.6503,1.49262,1.68191,0.60689,0.6962,0.63558,0.28017,1.81782,1.446,1.90046,0.001802,0.001802,0.001802
7,280.198,1.63437,1.44761,1.67086,0.80797,0.51899,0.63964,0.334,1.87449,1.58181,1.96178,0.0017624,0.0017624,0.0017624
8,319.362,1.58487,1.33657,1.64975,0.78891,0.70964,0.79365,0.40755,1.70911,1.15557,1.83561,0.0017228,0.0017228,0.0017228
9,359.02,1.54205,1.28397,1.59875,0.71291,0.78481,0.76516,0.42004,1.67046,1.25005,1.80522,0.0016832,0.0016832,0.0016832
10,398.452,1.57294,1.30499,1.62954,0.82172,0.70019,0.79069,0.4428,1.64396,1.19576,1.72827,0.0016436,0.0016436,0.0016436
11,437.819,1.523,1.2568,1.5774,0.80567,0.73474,0.78807,0.41638,1.80035,1.15025,1.84969,0.001604,0.001604,0.001604
12,477.111,1.48771,1.17617,1.54593,0.77141,0.72624,0.77445,0.4196,1.64373,1.08705,1.76015,0.0015644,0.0015644,0.0015644
13,516.492,1.5301,1.21855,1.58165,0.85299,0.77215,0.80628,0.42436,1.74055,1.14949,1.81289,0.0015248,0.0015248,0.0015248
14,555.889,1.47005,1.10803,1.54135,0.88508,0.68244,0.79975,0.43848,1.71158,1.08631,1.83994,0.0014852,0.0014852,0.0014852
15,594.97,1.50147,1.16548,1.57175,0.83206,0.75261,0.81258,0.43419,1.67563,1.11092,1.81721,0.0014456,0.0014456,0.0014456
16,634.434,1.4738,1.15731,1.55922,0.85611,0.6962,0.77899,0.42854,1.66765,1.22963,1.77934,0.001406,0.001406,0.001406
17,673.515,1.49059,1.13978,1.55141,0.82606,0.75949,0.83485,0.44418,1.63915,1.03854,1.74326,0.0013664,0.0013664,0.0013664
18,712.756,1.47392,1.09803,1.55159,0.76429,0.78481,0.74526,0.39122,1.67877,1.09545,1.77399,0.0013268,0.0013268,0.0013268
19,752.224,1.45505,1.08093,1.51995,0.85213,0.68354,0.72274,0.40498,1.69856,1.54103,1.8514,0.0012872,0.0012872,0.0012872
20,791.659,1.44965,1.07951,1.52112,0.76286,0.75949,0.79296,0.4383,1.59876,1.05066,1.70089,0.0012476,0.0012476,0.0012476
21,831.325,1.45066,1.07369,1.52242,0.81213,0.82081,0.83089,0.46144,1.5439,0.89414,1.65208,0.001208,0.001208,0.001208
22,870.622,1.43892,1.05113,1.52656,0.86509,0.74684,0.80003,0.4312,1.73236,0.98716,1.81056,0.0011684,0.0011684,0.0011684
23,909.884,1.40946,1.05607,1.50177,0.7952,0.81013,0.82428,0.46363,1.53411,0.99711,1.67446,0.0011288,0.0011288,0.0011288
24,949.087,1.40749,1.04124,1.48261,0.78547,0.78793,0.83879,0.48624,1.49133,0.8512,1.65175,0.0010892,0.0010892,0.0010892
25,988.434,1.39561,0.97139,1.46696,0.79441,0.83153,0.83662,0.47209,1.61126,0.93555,1.72632,0.0010496,0.0010496,0.0010496
26,1027.82,1.42566,1.02169,1.49866,0.77069,0.72324,0.77704,0.41994,1.64234,1.15555,1.72663,0.00101,0.00101,0.00101
27,1067.21,1.38908,0.97525,1.48268,0.76824,0.83921,0.8429,0.45316,1.61966,0.88317,1.71049,0.0009704,0.0009704,0.0009704
28,1106.52,1.36849,0.98153,1.4541,0.81427,0.8481,0.85494,0.46825,1.62222,0.84922,1.78139,0.0009308,0.0009308,0.0009308
29,1145.62,1.35919,0.97105,1.47124,0.80182,0.76825,0.83952,0.47404,1.61915,0.96287,1.72261,0.0008912,0.0008912,0.0008912
30,1185.09,1.36817,0.94977,1.45875,0.78529,0.83335,0.82493,0.47505,1.59855,0.80733,1.71615,0.0008516,0.0008516,0.0008516
31,1224.57,1.37745,0.94767,1.47086,0.7837,0.82278,0.86831,0.48903,1.62474,0.86945,1.71952,0.000812,0.000812,0.000812
32,1263.86,1.36218,0.93315,1.45272,0.81278,0.83544,0.85584,0.49167,1.52749,0.83358,1.6455,0.0007724,0.0007724,0.0007724
33,1303.01,1.36426,0.94537,1.44882,0.83411,0.7638,0.84111,0.47324,1.51691,0.83742,1.62517,0.0007328,0.0007328,0.0007328
34,1342.24,1.34762,0.94351,1.44878,0.78404,0.82724,0.8421,0.47561,1.59918,0.8513,1.74555,0.0006932,0.0006932,0.0006932
35,1381.74,1.31555,0.90243,1.43101,0.83023,0.87342,0.87302,0.49849,1.54174,0.76472,1.65553,0.0006536,0.0006536,0.0006536
36,1421.07,1.30699,0.89633,1.42061,0.79852,0.81013,0.84441,0.48359,1.55009,0.81825,1.65438,0.000614,0.000614,0.000614
