epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,299.309,0.64076,2.24104,0.37575,0.40814,0.44304,0.34124,0.16326,0.56056,0.89347,0.38424,0.000665635,0.000665635,0.000665635
2,586.995,0.60304,0.80697,0.32735,0.61573,0.46653,0.44107,0.22896,nan,nan,nan,0.00130592,0.00130592,0.00130592
3,873.659,0.61981,0.88396,0.33271,0.69808,0.4976,0.46442,0.19523,nan,nan,nan,0.00191981,0.00191981,0.00191981
4,1159.97,0.63514,0.87073,0.34093,0.66311,0.62025,0.59596,0.26865,0.48291,0.83455,0.29394,0.0018812,0.0018812,0.0018812
5,1446.8,0.59363,0.80481,0.31759,0.69232,0.76905,0.69728,0.30809,0.51335,0.74681,0.32401,0.0018416,0.0018416,0.0018416
6,1732.97,0.5605,0.82966,0.29882,0.7417,0.78481,0.75006,0.3694,0.48022,0.69399,0.29567,0.001802,0.001802,0.001802
7,2018.5,0.56406,0.76048,0.29752,0.61674,0.60759,0.51342,0.26471,nan,nan,nan,0.0017624,0.0017624,0.0017624
8,2303.2,0.56776,0.76216,0.30484,0.61298,0.68168,0.55243,0.3075,nan,nan,nan,0.0017228,0.0017228,0.0017228
9,2590.27,0.53649,0.77786,0.28249,0.69953,0.79569,0.74677,0.41084,0.47758,0.61296,0.30362,0.0016832,0.0016832,0.0016832
10,2876.32,0.52197,0.77694,0.27429,0.73179,0.62025,0.63475,0.33845,0.4916,0.85827,0.31281,0.0016436,0.0016436,0.0016436
11,3162.03,0.51702,0.7208,0.27134,0.78352,0.70886,0.68939,0.36385,0.47605,0.73228,0.30706,0.001604,0.001604,0.001604
12,3446.85,0.51804,0.71808,0.26629,0.61973,0.6962,0.59739,0.30478,0.50311,0.7802,0.30187,0.0015644,0.0015644,0.0015644
13,3732.08,0.51592,0.71739,0.27653,0.71631,0.70319,0.68935,0.35789,0.48424,nan,0.29846,0.0015248,0.0015248,0.0015248
14,4016.26,0.50529,0.7609,0.26763,0.65087,0.62025,0.61125,0.31055,0.49629,0.78476,0.30998,0.0014852,0.0014852,0.0014852
15,4300.14,0.50867,0.70849,0.27268,0.60465,0.78481,0.6794,0.39226,0.45665,0.68413,0.27364,0.0014456,0.0014456,0.0014456
16,4585.18,0.49795,0.68904,0.25778,0.65843,0.63291,0.63432,0.35671,0.49119,0.74281,0.30961,0.001406,0.001406,0.001406
17,4872.5,0.48792,0.69785,0.25395,0.69148,0.73768,0.69426,0.37474,0.49637,0.67315,0.33627,0.0013664,0.0013664,0.0013664
18,5158.96,0.47807,0.65506,0.24765,0.74866,0.71643,0.71811,0.38055,0.527,0.58641,0.35706,0.0013268,0.0013268,0.0013268
19,5444.86,0.48444,0.67034,0.25224,0.74634,0.6962,0.74441,0.39225,0.45582,0.66713,0.27336,0.0012872,0.0012872,0.0012872
20,5732.54,0.48602,0.68402,0.25037,0.73345,0.73149,0.74745,0.38679,0.49674,0.63857,0.31519,0.0012476,0.0012476,0.0012476
21,6018.76,0.47117,0.65756,0.23838,0.77927,0.73418,0.74893,0.39904,0.47514,0.60976,0.30366,0.001208,0.001208,0.001208
22,6305.15,0.46844,0.64232,0.24323,0.77256,0.68798,0.72741,0.40851,0.48319,0.6259,0.31472,0.0011684,0.0011684,0.0011684
23,6591.52,0.46995,0.64721,0.24632,0.84022,0.73225,0.77678,0.41731,0.48298,0.61805,0.29538,0.0011288,0.0011288,0.0011288
24,6878.11,0.47117,0.64287,0.25019,0.70579,0.78481,0.73127,0.40972,0.46953,0.59149,0.29487,0.0010892,0.0010892,0.0010892
25,7162.74,0.46565,0.65403,0.23592,0.74785,0.81013,0.77513,0.42396,0.48939,0.57642,0.32273,0.0010496,0.0010496,0.0010496
26,7448.31,0.45623,0.63477,0.23472,0.72354,0.82826,0.77857,0.4041,0.48769,0.56103,0.30706,0.00101,0.00101,0.00101
