epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.749,1.89462,3.07291,2.1278,0.00994,0.56962,0.00803,0.00349,2.1722,69.5162,2.54297,0.000665635,0.000665635,0.000665635
2,277.682,1.96395,2.80091,2.20546,0.37378,0.09075,0.09086,0.03551,1.98899,4.35565,2.26249,0.00130592,0.00130592,0.00130592
3,409.911,1.88807,2.67352,2.10959,0.46672,0.37975,0.32734,0.15399,1.94401,2.66552,2.05747,0.00191981,0.00191981,0.00191981
4,541.553,1.87316,2.50723,2.05051,0.57272,0.6278,0.5645,0.27201,1.71617,1.69012,1.8634,0.0018812,0.0018812,0.0018812
5,673.389,1.81411,2.2574,1.99054,0.59504,0.67089,0.598,0.27956,1.66321,1.75338,1.8796,0.0018416,0.0018416,0.0018416
6,806.21,1.77769,2.22037,1.99463,0.45656,0.25316,0.3198,0.1509,1.86863,3.09313,1.95697,0.001802,0.001802,0.001802
7,939.873,1.75121,2.14599,1.92638,0.63106,0.73418,0.64332,0.29129,1.64304,1.70222,1.8637,0.0017624,0.0017624,0.0017624
8,1073.14,1.70616,1.99875,1.9215,0.65412,0.62244,0.57682,0.30141,1.64251,1.67122,1.90418,0.0017228,0.0017228,0.0017228
9,1206.31,1.67211,1.91293,1.89689,0.78702,0.60759,0.67026,0.36074,1.52767,1.47288,1.76558,0.0016832,0.0016832,0.0016832
10,1338.83,1.65178,2.0303,1.88836,0.64416,0.57291,0.60153,0.30962,1.69129,1.75397,1.88667,0.0016436,0.0016436,0.0016436
11,1471.09,1.64599,1.84623,1.87286,0.62267,0.74684,0.64932,0.33853,1.58852,1.41463,1.87235,0.001604,0.001604,0.001604
12,1602.63,1.61304,1.9413,1.82692,0.79931,0.65823,0.68195,0.35256,1.56621,1.5806,1.78634,0.0015644,0.0015644,0.0015644
13,1733.92,1.61009,1.85852,1.86736,0.77514,0.62025,0.67567,0.3348,1.66127,1.64792,1.86968,0.0015248,0.0015248,0.0015248
14,1864.85,1.5977,1.8239,1.85517,0.61447,0.66581,0.60334,0.29557,1.6471,1.63808,1.92974,0.0014852,0.0014852,0.0014852
15,1995.41,1.56567,1.79786,1.80905,0.7149,0.72152,0.71174,0.37016,1.56993,1.34879,1.81195,0.0014456,0.0014456,0.0014456
16,2127.23,1.56266,1.68507,1.78601,0.7058,0.6962,0.69932,0.38943,1.59506,1.4095,1.8268,0.001406,0.001406,0.001406
17,2259.25,1.5525,1.71745,1.79219,0.65561,0.74684,0.64824,0.31968,1.56592,1.40391,1.84309,0.0013664,0.0013664,0.0013664
18,2390.86,1.56485,1.70648,1.79922,0.75893,0.65823,0.74525,0.39361,1.6671,1.64617,1.8802,0.0013268,0.0013268,0.0013268
19,2523.53,1.55265,1.67018,1.77287,0.7405,0.72242,0.72142,0.38979,1.57416,1.29244,1.77931,0.0012872,0.0012872,0.0012872
20,2656.18,1.56812,1.66057,1.78304,0.76117,0.76657,0.73257,0.37813,1.59145,1.2883,1.82404,0.0012476,0.0012476,0.0012476
21,2788.88,1.53422,1.63937,1.76697,0.72713,0.80954,0.72685,0.36236,1.58282,1.29134,1.85877,0.001208,0.001208,0.001208
22,2921.18,1.51879,1.67168,1.76437,0.72989,0.71835,0.73312,0.38611,1.61364,1.38099,1.80865,0.0011684,0.0011684,0.0011684
23,3053.16,1.54251,1.60585,1.76801,0.79549,0.59089,0.69078,0.3639,1.674,1.54439,1.81217,0.0011288,0.0011288,0.0011288
24,3186.15,1.5389,1.60918,1.75775,0.74083,0.81013,0.73906,0.39072,1.52625,1.18808,1.76786,0.0010892,0.0010892,0.0010892
25,3317.1,1.50073,1.64961,1.73432,0.7205,0.7179,0.70854,0.39858,1.55133,1.3864,1.72533,0.0010496,0.0010496,0.0010496
26,3447.72,1.4671,1.55549,1.71226,0.73693,0.78014,0.75881,0.41927,1.55901,1.1668,1.775,0.00101,0.00101,0.00101
27,3579.85,1.49903,1.53276,1.74322,0.79035,0.76353,0.81055,0.46328,1.55011,1.12824,1.73934,0.0009704,0.0009704,0.0009704
28,3711.19,1.52051,1.4983,1.7643,0.75639,0.78606,0.80005,0.42217,1.51015,1.22749,1.78236,0.0009308,0.0009308,0.0009308
