epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.647,1.7679,4.28319,1.84048,0.53743,0.4557,0.38705,0.1496,2.09004,2.9729,2.35316,0.000664603,0.000664603,0.000664603
2,186.735,1.78106,2.08728,1.95784,0.48976,0.46835,0.45084,0.20033,1.98023,2.03359,2.08974,0.00130491,0.00130491,0.00130491
3,272.252,1.81536,2.1542,1.93981,0.65011,0.63506,0.62655,0.31754,1.8123,1.81716,2.04972,0.00191882,0.00191882,0.00191882
4,358.439,1.75351,1.97133,1.91794,0.69689,0.67089,0.64428,0.30807,1.83957,1.64639,1.99722,0.0018812,0.0018812,0.0018812
5,436.819,1.68583,1.96603,1.87066,0.66017,0.4557,0.53106,0.22676,1.91478,2.01422,2.06597,0.0018416,0.0018416,0.0018416
6,518.759,1.70373,1.95145,1.86834,0.62635,0.53165,0.57317,0.27527,nan,nan,nan,0.001802,0.001802,0.001802
7,603.658,1.6806,1.80648,1.86121,0.75155,0.59494,0.6204,0.29325,1.73623,1.83921,1.86917,0.0017624,0.0017624,0.0017624
8,688.356,1.65187,1.67302,1.82892,0.70447,0.7242,0.74565,0.39927,1.61446,1.22089,1.75,0.0017228,0.0017228,0.0017228
9,773.464,1.59951,1.54672,1.79281,0.7355,0.63358,0.72764,0.379,1.68557,1.27448,1.851,0.0016832,0.0016832,0.0016832
10,859.04,1.62385,1.58169,1.80329,0.83183,0.62617,0.74361,0.39799,1.63171,1.47846,1.78769,0.0016436,0.0016436,0.0016436
11,942.013,1.58506,1.50226,1.78404,0.7987,0.75949,0.7834,0.39251,1.70654,1.27675,1.8017,0.001604,0.001604,0.001604
12,1026.66,1.58956,1.54237,1.79056,0.72931,0.78439,0.75227,0.39938,1.63047,1.15147,1.77493,0.0015644,0.0015644,0.0015644
13,1110.15,1.57912,1.42541,1.78023,0.82363,0.6962,0.77269,0.39321,1.68244,1.23982,1.86826,0.0015248,0.0015248,0.0015248
